,GSM5824838,GSM5824839,GSM5824847,GSM5824852,GSM5824855,GSM5824858,GSM5824868,GSM5824878,GSM5824885,GSM5824894,GSM5824904,GSM5824932,GSM5824943,GSM5824955,GSM5824967,GSM5824970,GSM5824979,GSM5824984
51422,3.143,4.084,3.783,4.574,4.295,1.663,2.003,4.361,9.511,5.307,1.853,2.33,3.219,1.46,1.355,2.482,4.417,3.718
644090,0.1524,0.2666,0.3005,0.2373,0.06995,0.396,0.3168,0,0.4526,0.3988,0,0.1323,0.233,0.2931,0.1558,0.136,0.7287,0.2451
100505483,0.9768,0.9613,0.6419,0.2535,0.8967,0.9704,0.3384,0.7829,1.088,0.2556,0.3197,0.7774,0.9601,0.3757,0.4994,0.327,1.374,1.234
105375570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105375571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63917,2.208,3.06,2.866,2.816,2.148,1.114,1.459,3.687,5.628,2.213,1.436,1.616,3.206,1.146,0.7615,1.792,2.947,2.383
731075,0.4433,0.8483,0.3399,1.208,0.5341,0.3896,0.5221,1.066,2.386,0.841,0.671,0.7697,0.7988,0.746,0.34,1.36,1.59,0.7384
58508,3.857,5.984,4.1,8.364,4.336,2.287,5.689,6.384,23.93,6.075,2.772,3.807,6.734,2.629,2.003,5.137,6.771,5.702
220832,0,0,0.3955,0.1171,0.3107,0.06898,0,0.1809,0,0,0.2216,0,0,0,0.06593,0,0,0
100128822,2.445,1.545,3.273,2.044,1.933,0.8304,1.807,3.157,1.715,2.133,1.378,2.634,2.433,1.411,1.349,3.577,1.375,1.685
105375574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7516,0.1822,0.07084,0,0.06303,0.1301,0.0495,0.07854,0.09734,0.2104,0.1059,0.03975,0.08202,0.1061,0.109,0.01183,0.01807,0.04555,0.186
57180,0.474,0.5529,0.7677,0.6858,0.5142,0.3337,0.3025,0.8288,1.258,0.6164,0.3385,0.2993,0.5773,0.5525,0.277,0.359,0.7595,0.5544
102723686,0.01914,0,0,0,0,0,0,0,0.02842,0.02003,0,0.02216,0,0,0,0,0.04307,0
105375577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103724390,0,0.08382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105375578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105375579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107986750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1804,0.01036,0.02719,0.009077,0,0,0.03167,0,0,0,0.02169,0,0.005996,0.009051,0.007969,0.006053,0,0,0
107986722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101929998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107984014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105375582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112267989,0,0,0,0,0,0.01162,0,0,0,0.009946,0,0,0,0,0,0,0,0
105375581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105375580,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04327,0,0,0,0
100132707,2.177,3.094,2.432,3.332,2.248,0.9647,1.719,2.093,6.302,3.075,1.567,1.449,3.613,1.423,1.113,2.04,3.245,3.65
22976,1.226,1.704,2.325,2.353,1.341,1.365,0.94,2.261,4.313,1.037,0.7583,1.069,2.054,0.7363,0.7064,0.5546,2.777,2.438
202781,1.871,2.79,2.497,1.986,3.123,1.352,1.603,2.522,3.347,0.9793,1.336,1.058,2.787,1.57,0.5218,1.936,2.775,2.071
100128264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105375584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105375586,0,0,0,0,0,0,0,0,0.03858,0,0,0,0,0,0,0,0,0
105375587,0.03002,0.2101,0,0,0.02756,0,0,0.09624,0.4458,0,0,0.06951,0,0,0,0,0.1689,0
105375588,0.274,0.6392,0,0.6635,0.4192,0.05583,0.329,0.4392,0.8815,0.1912,0.2989,0.4229,0.4788,0.07026,0.2135,0.08152,1.233,0.8393
105375589,0,0.2086,0,0,0.6567,0.07289,0.5287,0.3822,0.8853,0.1248,0.1561,0.06901,0.5209,0,0.2787,0.5322,0,0.4383
105375591,0.5183,0.7054,0.5046,0.9564,0.5815,0.6338,0.415,0.9231,2.052,0.6028,0.4523,0.4333,0.2516,0.3987,0.5048,0,1.166,0.4763
3638,8.921,11.33,11.43,9.668,12.37,7.958,4.928,14.25,27.98,13.4,7.209,9.536,11.19,6.653,2.961,6.419,16.93,13.38
105375592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105375593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08788
100286906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105375594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03336,0
2020,0.02845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03201,0
107986863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100506302,1.534,2.196,0.9776,2.099,2.561,2.302,0.8117,1.23,3.417,0.6569,1.278,1.695,1.95,0.8583,0.489,0.6225,2.275,2.115
155435,12.18,11.89,10.88,17.84,13.71,7.191,9.106,14.27,31.19,10.74,6.705,10.55,13.72,5.955,4.641,12.93,15.93,10.57
6469,0,0,0,0,0,0,0,0.0196,0,0,0,0,0,0,0,0,0.02751,0
389602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105375597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105375603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105375602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105375601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105375599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100506380,0.3593,0.5318,0.2421,0.4302,0.3044,0.5575,0.01532,0.4872,0.4514,0.1446,0.05426,0.04798,0.338,0.06378,0.06459,1.085,0.2798,0.1778
112268012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140545,0.2143,0.4602,0.2732,0.4651,0.3398,0.05956,0.1296,0.5309,0.6365,0.1428,0.1913,0.3045,0.3234,0.1799,0.1252,0.2957,0.4165,0.3939
101927858,0.06831,0.1195,0.0798,0.09452,0.1881,0.08351,0.05048,0.146,0.2705,0.04766,0.149,0.1977,0.179,0.1752,0.05321,0.4268,0.3586,0.1046
64327,1.526,1.96,1.614,2.258,1.594,0.9576,1.332,2.238,4.435,1.691,0.8818,1.475,2.531,1.03,0.5501,1.217,2.274,2.894
102723795,0,0,0.133,0.03939,0,0,0,0,0.05635,0,0.02484,0.04393,0.06631,0.05839,0,0.1694,0,0.03488
105375604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105375605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64434,1.216,2.22,2.757,2.36,2.027,0.8324,1.231,2.543,4.476,1.743,0.6576,1.132,2.679,0.9356,0.6257,0.8968,2.365,2.478
3110,0,0.0322,0,0,0,0,0,0,0,0,0,0,0.03216,0,0.02151,0,0,0
105375606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2452
645249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105375607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9690,5.414,8.284,10.86,10.16,8.078,6.371,5.043,9.949,18.2,7.937,3.509,4.664,9.228,4.056,3.071,6.013,9.384,9.61
10049,19.58,19.56,18.31,27.08,20.95,8.858,8.313,27.18,52.14,19.01,12.78,16.09,17.53,13.6,9.515,22.81,33.57,16.2
101927914,0,0.02087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02684,0
105375610,0,0.09174,0,0.1633,0,0.08014,0.01453,0.1681,0.5061,0,0.1544,0.07587,0.1145,0.04034,0.07659,0.3978,0.236,0.07228
5799,0.4326,0.482,0.411,0.9689,0.5518,0.4037,0.1338,0.8905,1.582,1.382,0.5812,0.6194,0.3939,0.515,0.3326,1.016,1.014,0.2678
406945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105375615,0,0.1116,0.2515,0.1655,0.02927,0.117,0.1767,0.1022,0.0947,0.1335,0.04174,0.05536,0.1393,0.04906,0,0,0.1435,0.08791
105375614,0,0.02441,0,0,0.02561,0,0,0,0,0,0,0,0.04875,0,0,0,0.03139,0.05128
100506585,1.953,1.964,3.049,2.75,2.885,0.6313,0.448,4.174,4.801,4.841,0.8523,1.13,2.059,0.9672,1.784,3.226,3.587,2.331
105375613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693180,0,0,0,0,0,0,0,1.613,0,0,0,0,0,0,0,0,1.132,0
105375616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100847032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54892,0.4161,0.6336,1.364,1.151,0.6789,1.178,0.632,0.7656,1.533,0.8387,0.3126,0.544,1.265,0.2845,0.3962,0.2613,0.8668,1.416
57488,7.135,13.06,15.55,14.03,10.65,6.378,8.049,13.53,27.77,9.818,5.697,6.728,15.89,6.115,4.096,6.124,13.17,14.7
105379752,0.3428,0.6722,0.3418,0.8343,0.293,0.5059,0.9304,0.5495,1.439,0.396,0.2476,0.5405,0.8779,0.3001,0.1658,0.2849,0.8113,0.641
55112,0.3214,0.8936,0.6939,0.548,0.6743,0.6175,0.4898,0.9566,1.346,0.4925,0.2704,0.3786,0.9325,0.3708,0.2481,0.5122,0.7748,0.7911
154822,0,0,0,0,0,0,0,0,0.07148,0,0,0,0,0,0,0,0,0
7434,0.04154,0.1332,0.04853,0.07186,0.1652,0,0.0307,0.1554,0.2262,0.01449,0,0.008014,0.09678,0.04261,0.07282,0.2843,0.04674,0.01273
101927506,0.4822,0.4049,0.2704,0.7806,0.4249,0.08253,0.652,0.4328,1.117,0.2826,0.4039,0.7367,0.556,0.4896,0.2366,0.6714,0.933,0.5671
441308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644128,0.4505,0.4087,0.5117,0.5887,0.4288,0.2448,0.3699,0.6953,1.164,0.227,0.2293,0.1738,0.5685,0.2952,0.1072,0.2532,0.6194,0.5673
