,GSM5824838,GSM5824839,GSM5824847,GSM5824852,GSM5824855,GSM5824858,GSM5824868,GSM5824878,GSM5824885,GSM5824894,GSM5824904,GSM5824932,GSM5824943,GSM5824955,GSM5824967,GSM5824970,GSM5824979,GSM5824984
IGLV2-8,48.57,18.86,4.781,41.63,6.762,3.169,10.13,9.621,4.456,10.28,3.929,32.06,13.59,14.48,48.14,95.71,28.24,74.21
IGLV3-1,17.21,15.3,10.21,9.506,5.605,1.527,4.615,5.783,2.061,9.296,2.906,10.76,9.941,7.046,3.081,8.175,20.92,34.69
IGLV3-10,1.392,3.409,0.2439,3.467,0.2555,1.872,1.697,1.785,0,0.874,1.457,4.188,5.593,1.499,1.789,13.17,3.131,10.23
IGLV3-12,6.124,8.035,0,0.8666,5.621,0.8508,0,0,0.8266,0.874,1.275,2.255,0.2432,1.071,0,1.242,0.3131,0
IGLV3-13,2.259,5.682,0,0.5862,3.111,0,0.9391,0,0.8387,0,0.5545,0.9807,0,0.869,0.165,0,1.271,0
IGLV3-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLV3-16,0.835,0.487,0,2.022,0.511,0,0,0,0,0,0,0.3222,1.459,0,0.1626,0,0.6263,1.279
IGLV3-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3159
IGLV3-19,9.185,7.548,12.68,15.02,8.943,2.552,12.5,19.18,4.96,15.15,2.733,17.4,8.511,5.139,6.017,19.88,25.68,33.25
IGLV3-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLV3-21,13.64,12.17,1.463,5.778,3.322,2.212,5.091,8.923,3.72,3.496,2.186,17.4,9.97,3.64,4.879,15.4,22.86,28.9
IGLV3-22,0.2832,0,0,0,0,0,0,0.454,0,0,0.3708,0,0,0,0,0,0,0
IGLV3-24,0,0.8592,0,0.6796,0,0,0,0,0.4862,0,0,0.1895,0,0,0.1913,0.8767,0,0
IGLV3-25,4.454,6.818,4.39,5.778,1.789,3.063,3.857,5.8,3.306,7.283,0.9109,8.216,8.268,1.927,3.741,12.67,14.09,15.09
IGLV3-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLV3-27,3.399,1.734,1.241,10.29,0.78,2.77,2.355,3.178,0.4206,0.2965,0.3708,4.754,1.98,0.6537,1.986,5.562,3.187,1.041
IGLV3-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLV3-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLV3-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLV3-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLV3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLV3-6,0.3401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLV3-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLV3-9,0.8472,1.482,0.4949,2.345,1.815,0.3453,0.7826,0.9053,1.258,1.182,1.294,6.701,2.714,1.086,1.32,4.285,1.906,5.19
IGLV4-3,0.5207,0,0.2281,0.5404,0.239,0,0.1443,0,0.7731,0,0,0.3013,0,0,0.1521,6.739,0.5858,0.4785
IGLV4-60,3.184,4.178,0.465,3.029,0.9743,0,0,2.552,0,0.8332,0,0.7679,0,0,2.171,0.9474,3.582,2.682
IGLV4-69,17.76,6.59,2.357,20.38,7.656,1.151,5.666,7.331,2.796,3.942,3.346,12.15,3.761,3.104,12.58,27.86,6.054,23.98
IGLV5-37,0.2617,0.4579,0,0.2717,0,0,1.451,0,0,0.274,0.1713,0.303,0,0,0,0,0,0
IGLV5-45,3.403,1.832,0,87.75,0.7208,0,0,0.4195,1.166,0.274,0.6853,3.787,1.372,0.8054,0.6117,3.271,1.767,6.254
IGLV5-48,0.5235,0,0,0,0.4805,0,0,0,0,0,0,0.1515,0,0,0,0,0,0
IGLV5-52,3.674,5.051,2.53,4.086,6.264,0.4813,3.928,5.889,9.353,1.374,2.577,0.6076,7.337,2.827,2.454,3.514,6.496,6.753
IGLV6-57,16.42,19.63,6.713,12.49,3.767,5.52,1.516,8.771,2.031,12.89,1.433,8.393,3.107,2.526,4.796,20.03,16.62,22.88
IGLV7-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLV7-43,7.705,3.611,2.411,2.57,3.031,0.6729,0.9151,3.087,2.043,1.44,0.7204,3.185,2.404,1.27,3.698,2.211,2.167,18.71
IGLV7-46,8.806,4.574,2.17,11.42,1.01,1.178,2.44,3.969,0.4086,3.168,3.422,12.74,3.846,4.869,1.608,3.93,4.025,14.67
IGLV8-61,16.14,11.25,0.2397,17.32,7.535,0.1673,1.516,1.316,0,1.146,1.612,21.85,4.542,1.052,21.58,44.69,4.002,21.12
IGLV8OR8-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLV9-49,2.066,0.9037,1.81,0.536,1.185,0.4736,0.5725,2.07,1.15,2.162,0.6761,2.391,0.4512,0.7946,0.4527,1.383,3.196,2.611
IGLVI-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLVI-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGLVI-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
