,GSM5824838,GSM5824839,GSM5824847,GSM5824852,GSM5824855,GSM5824858,GSM5824868,GSM5824878,GSM5824885,GSM5824894,GSM5824904,GSM5824932,GSM5824943,GSM5824955,GSM5824967,GSM5824970,GSM5824979,GSM5824984
A1BG,0.9139,1.024,0.9509,1.245,1.389,0.646,0.6648,1.099,1.442,0.8967,0.2804,0.7107,1.397,0.4174,0.534,0.8412,0.8996,1.024
A1BG-AS1,1.179,1.349,1.669,2.212,1.665,1.275,0.8042,1.454,1.751,1.519,0.6826,1.076,1.822,0.8721,0.7683,0.5262,1.632,1.417
A1CF,0,0,0,0,0,0,0,0,0,0.01061,0,0,0,0,0,0,0,0
A2M,0.9452,1.576,0.3906,0.9069,0.4092,0.3707,0.3163,0.8861,1.562,0.8959,0.2685,0.2684,0.4518,0.4116,0.3751,0.3502,1.725,0.3441
A2M-AS1,0.4619,1.249,0.6991,1.307,0.4626,0.1027,0.1396,0.6731,0.9977,0.6153,0.3023,0.2673,0.3302,0.1292,0.5398,0.3373,1.512,0.1158
A2ML1,0,0.01267,0.02538,0.03006,0.02658,0,0,0,0.1075,0,0,0,0,0,0,0,0.01629,0.01331
A2MP1,0.2413,1.548,0.2114,0.5843,0,0.2458,0,0,1.075,0.5892,0.05264,0.09309,0.1405,0.06186,0.4699,0,1.267,0.0739
A3GALT2,0.6609,0.08259,0.08272,0.09799,0.1733,0,0,0.6053,0.4206,0.5929,0.06179,0.2186,0.3299,0.1453,0,0.3371,0.5311,0.5206
A4GALT,0,0,0,0.02528,0.08942,0.01489,0.0135,0,0,0,0,0,0,0,0,0,0.0274,0.02238
A4GNT,0,0,0,0.1517,0,0,0,0,0,0,0,0,0.03193,0,0,0,0,0.06716
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,8.146,14.7,14.54,15.06,16.17,15.75,14.79,15.1,20.49,8.899,6.432,8.31,17.39,6.345,7.675,15.04,18.39,16.14
AACS,1.267,3.451,2.422,3.796,4.547,2.201,1.612,3.323,4.875,1.748,1.753,1.517,3.749,1.152,1.447,3.059,3.791,2.937
AACSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,0,0,0,0,0.08583,0,0,0,0.0505,0,0,0,0,0
AADACL2,0,0,0,0,0.03317,0,0,0,0,0,0,0,0,0,0.01056,0,0,0
AADACL2-AS1,0,0,0.1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03629,0
AAGAB,5.373,5.802,6.33,6.35,6.678,3.866,2.693,8.076,11.83,5.247,2.776,3.779,6.513,2.294,1.772,5.094,6.826,6.851
AAK1,2.1,3.946,2.86,3.269,2.866,1.822,3.274,4.039,10.55,2.341,1.605,2.098,4.579,1.577,1.08,2.001,4.155,3.537
AAMDC,0.8277,0.8598,0.6346,1.074,0.9023,0.6641,0.6021,0.4975,1.229,0.4332,0.474,0.6288,0.6327,0.1194,0.3627,0.4156,0.582,0.8082
AAMP,14.26,20.02,22.41,22.8,18.97,9.1,9.718,29.26,34.33,15.33,11.54,13.69,25.97,10.49,11.74,19.56,29.32,27.22
AANAT,0.5505,0.2325,0.4325,0.729,0.4182,0.3133,0.6418,0.3955,2.903,0.6954,0.2858,1.362,1.161,0.3213,0.3549,1.44,1.452,1.919
AAR2,6.093,8.286,9.62,9.924,9.885,7.118,4.714,11.17,15.18,6.093,3.83,4.993,10.8,4.664,4.547,6.058,10.35,9.009
AARD,0,0,0,0,0,0.4639,0,0,0,0,0,0,0,0,0,0,0,0
AARS1,3.31,8.638,10.45,10.57,6.18,5.488,8.753,11.92,18.74,7.663,3.746,5.569,12.2,5.395,4.934,6.435,11.68,16.11
AARS2,2.043,2.616,3.116,2.707,2.796,0.9254,1.9,3.069,4.577,2.119,0.9669,1.604,3.33,1.192,1.204,1.498,3.611,3.184
AARSD1,1.39,2.432,2.885,3.189,2.754,1.342,1.663,2.932,4.563,1.532,0.9099,1.228,3.58,1.745,1.283,3.331,3.457,3.228
AASDH,0.8865,1.284,1.604,1.252,1.241,1.119,0.7732,1.817,3.021,1.08,0.7419,1.068,1.727,0.7043,0.2972,0.5448,2.027,1.162
AASDHPPT,3.628,3.756,5.229,4.59,4.06,2.507,2.487,5.024,8.958,4.921,1.869,2.41,5.008,1.503,1.041,2.204,4.42,4.676
AASS,0.1614,0.3247,0.3676,0.3182,0.474,0.05919,0.3935,0.3363,0.623,0.2365,0.1373,0.2335,0.4089,0.2607,0.04715,0.1729,0.2905,0.3707
AATBC,3.928,3.547,3.883,6.344,3.644,1.823,3.039,5.589,8.671,3.914,1.609,5.033,6.937,1.955,2.774,2.681,6.31,10.39
AATF,13.77,20.77,22.94,25.86,22.62,18.07,15.58,25.68,44.03,20.35,11.77,17.11,27.46,10.56,13.85,27.76,32.09,32.11
AATK,34.28,22.89,6.637,26.52,29.34,5.124,4.024,20.15,40.62,26.58,6.439,9.093,8.717,7.527,12.03,32.85,34.56,8.702
ABALON,15.07,18.65,43.89,18.33,15.56,18.71,17.72,20.74,20.2,45.58,21.82,23.59,25.94,22.96,15.15,13.73,15.7,27.24
ABAT,4.055,5.123,2.374,6.936,6.76,1.458,3.659,7.592,11.88,2.394,3.015,3.248,5.159,2.97,2.322,5.3,6.625,4.383
ABCA1,2.979,1.807,1.179,2.472,1.546,1.803,0.9651,2.468,9.327,5.573,1.187,1.57,2.338,0.7417,0.576,1.516,2.064,2.876
ABCA10,0.03051,0.1735,0.147,0.06333,0.07002,0.009326,0.06764,0.02445,0.1133,0.03194,0.009985,0.02649,0.1066,0.02347,0.008914,0,0.06865,0.09814
ABCA11P,0.5097,1.561,0.7145,0.7406,1.17,0,0.339,0.8169,1.362,0.3734,0.367,0.6785,0.5343,0.3529,0.1787,0,0.5734,0.7026
ABCA12,0,0,0.008836,0,0,0,0,0,0,0,0,0,0.01762,0,0,0,0,0
ABCA13,0.03384,0.01184,0.02372,0.03512,0.02796,0,0.005627,0.03254,0.02512,0.2196,0.05537,0.2801,0.03843,0.08851,0.005932,0.0151,0.03807,0.0653
ABCA15P,0,0,0.03673,0,0.03848,0.02563,0.1394,0.1344,0.1245,0,0.02744,0.07279,0,0,0,0.03742,0.283,0
ABCA17P,0,0.06052,0,0,0.02117,0,0.02556,0,0.06849,0.04828,0.01509,0.06674,0.06044,0.01774,0,0,0.02595,0.06358
ABCA2,17.72,19.83,11.18,16.56,15.56,11.54,9.999,16.92,38.67,13.35,6.744,10.22,15.12,7.59,8.806,15.22,24.88,12.04
ABCA3,0.907,1.881,1.756,1.382,0.9535,1.663,0.9487,1.829,2.976,1.302,0.4213,0.6181,1.738,0.709,0.795,1.188,1.992,1.21
ABCA4,0.01318,0,0,0.01368,0,0.02417,0,0,0,0,0,0,0.01151,0,0,0,0,0
ABCA5,0.6946,1.734,0.8055,1.431,0.8533,0.1936,0.7587,1.293,3.276,0.6522,0.5817,0.7154,1.116,0.4558,0.2208,0.5562,1.402,0.9293
ABCA6,0.02519,0.07713,0.09933,0.05229,0.02312,0,0.04887,0.02019,0,0.05273,0.04946,0.04374,0.04402,0.01938,0.02208,0.05621,0.04251,0.02315
ABCA7,58.38,35.51,25.99,68.69,53.52,13.62,19.25,39.27,78.52,32.45,25.3,41.53,42.33,24.33,28.03,80.24,67.11,37.63
ABCA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01471
ABCA9,0.06547,0.02291,0.02295,0.02718,0.01202,0,0.007257,0.02099,0,0,0,0.02274,0.06864,0,0,0,0.01473,0
ABCA9-AS1,0,0,0,0.1917,0,0,0.1024,0,0,0,0,0,0,0,0,0,0,0
ABCB1,0.7544,2.083,2.086,1.566,1.508,1.066,1.747,2.096,4.605,1.369,0.812,1.087,2.036,0.9931,0.3918,0.6734,1.735,1.248
ABCB10,2.079,2.137,2.58,2.553,2.655,0.9318,0.9408,3.026,5.633,2.23,1.066,0.9323,2.845,0.9594,0.4554,0.8658,1.812,2.611
ABCB11,0.02527,0.02211,0.01107,0.01312,0.0116,0.0618,0,0,0,0,0.02481,0.02926,0,0.009721,0,0.01128,0.01422,0
ABCB4,0.2953,0.3927,0.3623,0.3556,0.2928,0.2022,0.4256,0.4355,0.7016,0.2349,0.1624,0.2119,0.4128,0.1363,0.06212,0.2952,0.6778,0.4017
ABCB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB6,1.005,1.248,1.817,1.245,1.16,0.6935,0.8802,1.558,1.733,0.9838,0.7849,1.294,2.378,0.6981,0.4545,1.562,2.042,0.9531
ABCB7,1.345,2.225,2.063,2.574,2.084,2.03,1.398,3.066,4.494,1.606,1.224,1.667,2.975,1.374,0.5895,1.445,2.932,2.762
ABCB8,3.264,5.139,4.593,4.552,4.662,3.467,2.894,4.675,8.451,3.565,2.296,3.317,5.72,2.715,2.276,2.676,6.013,4.836
ABCB9,0.1378,0.2239,0.1811,0.5414,0.1536,0.06619,0.06001,0.07888,0.2192,0.2266,0.06442,0.1424,0.172,0.07572,0.1208,0.1406,0.2215,0.3889
ABCC1,5.875,8.647,8.299,12.06,10.57,3.461,6.682,9.929,24.81,5.647,4.735,5.343,10.6,4.151,4.647,8.585,10.66,7.664
ABCC10,2.979,5.139,5.503,5.836,5.534,3.207,3.737,6.255,11.67,3.821,2.472,3.157,6.636,2.722,2.068,4.357,7.129,4.962
ABCC11,0.02823,0.07408,0.05771,0.0293,0.05182,0.06902,0.04693,0.07541,0.1257,0.07879,0.01848,0.03812,0.06576,0.03619,0.02199,0.04199,0.06351,0.1124
ABCC12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC13,0.4906,0.3433,0.8884,0.1697,0.3303,0.4799,0.2538,0.2097,0.2428,0.7531,0.6208,0.4543,1.029,0.4277,0.2867,0.3211,0.5152,0.9618
ABCC2,0.3311,0.4402,0.2901,0.756,0.2918,0.1619,0.1835,0.4882,1.613,0.3188,0.3381,0.3986,0.3818,0.2853,0.1393,0.2837,0.894,0.3651
ABCC3,1.283,1.603,6.845,6.224,1.606,2.444,2.493,4.245,7.099,5.457,3.598,4.474,5.152,2.935,3.932,5.918,4.667,5.021
ABCC4,0.9156,1.047,1.401,1.153,0.9861,0.6493,0.8254,1.115,2.52,0.9966,0.783,1.039,1.45,0.7982,0.378,0.948,1.415,1.571
ABCC5,2.896,4.147,2.183,6.641,3.943,1.147,2.121,3.514,6.186,2.667,2.044,2.037,3.286,1.817,2.009,6.066,4.223,1.97
ABCC5-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1203,1.471,0.2317,0
ABCC6,1.192,1.187,0.6399,1.686,1.327,0.5558,0.347,1.123,1.948,0.9048,0.439,0.6556,1.068,0.4472,0.5748,0.9712,1.861,0.5342
ABCC6P1,0.7081,0.9601,0.2792,1.066,1.267,0.02164,0.157,0.5107,1.262,0.8153,0.2781,0.3483,0.4949,0.3541,0.4551,0.8217,0.9958,0.2928
ABCC6P2,0.8151,0.713,0.119,0.9869,1.247,0,0.4517,0.2177,1.21,0.2844,0.2667,0.4717,0.356,0.418,0.2381,0.97,1.07,0.3745
ABCC8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC9,0,0,0.01801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1,7.898,7.475,10.14,14.03,10.41,5.952,4.492,12.78,22.57,11.74,4.474,8.303,8.415,4.581,7.928,11.7,12.79,12.3
ABCD2,0.3903,0.7053,0.5035,0.5341,0.5865,0.2884,0.3565,0.5293,0.8342,0.2289,0.2217,0.1737,0.5957,0.2804,0.04761,0.1684,0.4101,0.3389
ABCD3,2.444,3.747,3.694,3.282,3.376,2.276,1.765,3.81,6.693,4.014,1.453,2.064,4.036,1.139,0.7993,0.7006,3.583,3.874
ABCD4,4.92,7.672,7.142,6.857,7.679,4.838,4.557,7.2,14.65,4.627,3.422,4.525,8.575,3.51,3.249,4.603,10.51,6.203
ABCE1,3.802,6.695,7.664,5.622,6.181,4.967,5.275,7.209,13.06,4.863,2.602,4.027,7.489,3.097,1.365,1.863,6.625,8.129
ABCF1,7.29,16.01,18.39,17.99,14.58,10.56,9.37,21.1,31.25,12.56,7.426,9.768,21.01,8.75,8.204,14.43,21.67,20.62
ABCF1-DT,0.3557,0.4668,0.3117,0.5538,0.3266,0,0.2958,0.8553,0.2641,0.3723,0,0.7206,0.6216,0.1368,0.4157,0.4763,0.6003,0.3269
ABCF2,2.795,4.479,4.636,4.916,4.583,2.882,2.661,6.463,7.413,3.685,2.402,3.297,6.524,2.708,2.169,4.19,6.241,5.274
ABCF2-H2BK1,2.604,4.556,5.04,5.042,3.889,1.996,2.736,6.23,7.56,3.946,2.111,3.194,6.384,2.93,1.976,3.469,6.69,5.822
ABCF3,7.829,13.09,14.84,13.18,14.49,8.366,7.895,13.81,22.52,10.61,7.062,8.701,15.69,7.238,6.977,14.3,16.62,13.24
ABCG1,3.704,3.27,2.811,7.785,4.529,2.81,2.576,6.073,13.8,4.794,4.524,4.264,3.766,3.303,2.893,7.019,6.005,3.188
ABCG2,0.08641,0.03023,0.1968,0.07174,0.04759,0,0.1245,0.277,0.4106,0.07235,0.03393,0.09002,0.2869,0,0.05049,0.03085,0.3694,0.2382
ABCG4,0,0.01862,0,0,0.03908,0,0,0,0.03161,0,0,0,0,0,0.02488,0,0,0.01956
ABCG5,0,0.02085,0.02089,0,0,0,0,0,0.07079,0.02495,0,0,0,0,0,0.04255,0,0
ABCG8,0,0.04278,0,0,0,0,0,0,0,0,0,0.01415,0,0,0,0,0,0
ABHD1,2.207,3.261,2.88,3.767,3.602,3.718,2.121,4.403,4.152,2.618,1.991,2.016,3.085,1.736,1.863,3.021,4.139,3.155
ABHD10,3.751,4.859,4.867,3.968,4.933,2.139,3.498,5.954,9.104,3.888,2.219,2.693,5.136,2.941,1.201,1.577,5.762,5.369
ABHD11,4.104,3.231,3.138,3.446,4.828,1.893,1.985,4.066,6.093,2.577,1.782,2.397,3.52,1.751,1.548,3.43,5.162,3.874
ABHD12,2.515,3.54,3.871,5.107,4.196,1.992,1.818,4.242,7.405,2.312,1.975,2.785,4.586,2.154,2.454,3.963,4.946,4.301
ABHD12B,0.903,0.3291,0.5275,1.601,0.6908,0.069,0.3962,1.387,3.073,3.032,1.305,1.851,1.611,0.6078,0.2638,0.806,2.244,1.348
ABHD13,3.799,3.021,2.711,2.614,2.893,1.355,1.444,2.606,6.688,3.856,1.366,1.899,2.778,0.8966,0.4456,0.9762,2.979,2.922
ABHD14A,6.071,9.987,6.51,8.087,11.06,11.13,5.624,10.75,12.92,4.552,4.092,6.345,8.865,4.461,3.123,10.68,11.21,6.245
ABHD14A-ACY1,1.473,2.669,2.627,2.293,2.318,1.769,1.516,2.951,2.656,1.321,0.7919,1.34,2.436,1.497,0.7684,2.113,3.314,2.514
ABHD14B,15.42,24.72,25.91,20.9,25.83,24.13,18.96,29.28,31.31,12.4,12.71,11.56,25.69,12.59,11.93,15.03,30.14,19.45
ABHD15,5.808,9.001,7.997,8.066,9.115,5.36,3.495,12.24,14.29,4.603,3.747,4.418,7.007,3.447,3.604,4.543,9.117,5.49
ABHD16A,26.06,18.11,19.3,27.52,27.12,8.359,8.546,26.58,44,22.23,11.83,17.8,24.47,12.31,13.02,28.16,31.05,26.31
ABHD16B,2.067,3.045,4.813,3.274,2.296,1.862,1.477,3.661,4.038,3.7,1.032,1.951,4.038,1.297,1.811,1.893,4.956,3.598
ABHD17A,27.65,36.61,30.63,28.2,36.47,26.33,12.88,38.25,48.83,19.44,13.69,19.47,27.77,15.16,19.35,24.2,41.74,18.64
ABHD17B,1.637,2.379,3.131,4.378,2.708,1.818,1.635,3.584,8.386,2.871,1.252,1.721,3.524,1.383,1.172,2.387,2.956,2.394
ABHD17C,1.841,1.467,1.255,1.486,1.202,1,0.8842,1.377,3.402,0.942,0.5355,0.9471,1.537,0.5664,0.8127,2.52,1.519,0.6767
ABHD18,1.603,2.261,1.968,2.987,2.466,0.8418,0.8883,2.261,5.698,1.914,0.9235,1.679,2.968,1.094,0.6859,1.562,3.327,2.417
ABHD2,22.92,18.97,14.63,39.76,22.17,7.062,10.33,25.68,75.13,32.69,10.49,19.43,18,13.62,14.59,36.12,29.66,19.79
ABHD3,18.9,14.12,9.639,19.04,14.67,4.253,4.609,17.43,47.13,12.36,9.106,14.64,19.62,8.015,3.422,13.78,23.33,16.5
ABHD4,15.36,15.33,14.28,28.66,21.92,15.41,12.34,22.69,32.51,18,10.94,14.97,15.94,11.26,12.83,24.27,26.5,13.23
ABHD5,13.57,9.488,5.716,17.96,12.48,3.911,4.142,10.96,27.88,11.4,5.741,7.606,9.185,6.65,5.135,15.28,14.18,6.053
ABHD6,2.557,3.186,3.768,3.739,2.738,1.279,1.546,3.912,5.408,2.19,1.598,1.771,3.182,1.282,1.222,1.349,3.618,3.097
ABHD8,5.534,5.503,4.642,6.136,6.469,3.643,1.704,6.671,8.007,5.842,3.312,4.955,6.529,3.238,4.201,7.726,5.747,6.129
ABI1,20.9,16.82,14.97,20.54,20.06,11.92,9.92,21.49,37.76,20.59,8.903,13.86,20,10.49,6.338,15.2,22.28,18.91
ABI2,0.4423,0.5257,0.5923,0.6496,0.5784,0.5536,0.4787,0.6421,1.363,0.5285,0.3359,0.3695,0.7692,0.4269,0.1439,0.3352,0.7511,0.5905
ABI3,22.54,40.26,35.4,34.68,37.38,52.53,21.71,50.29,72.65,33.84,15.91,22.73,36.01,14.93,25.28,26.43,52.34,31.38
ABI3BP,0.01318,0.02306,0,0.01368,0.02419,0.008056,0,0,0.03914,0.01379,0.008625,0.03814,0.01151,0,0.0077,0,0,0.01211
ABITRAM,4.597,3.864,4.581,4.958,3.848,3.747,2.223,4.84,9.035,4.576,2.33,4.8,5.473,1.976,1.527,3.339,5.882,6.13
ABL1,2.669,4.943,5.983,6.142,3.919,4.021,3.576,5.837,10.26,4.157,2.014,2.362,5.197,2.27,2.843,4.077,4.662,5.655
ABL2,0.8619,1.027,1.264,1.057,0.8657,0.5269,0.8204,1.191,2.819,1.628,0.4864,0.6976,1.173,0.4132,0.3321,0.7637,1.342,0.924
ABLIM1,4.155,8.512,9.131,6.141,6.932,4.358,8.124,8.316,14.54,4.224,4.413,4.431,11.7,4.734,1.95,3.191,8.371,7.944
ABLIM2,0.07193,0.2202,0.2679,0.168,0.2641,0.1759,0.1096,0.2306,0.267,0.1882,0.1412,0.08326,0.2042,0.083,0.05254,0.01605,0.4046,0.1983
ABLIM3,1.12,0.6243,2.404,1.52,0.5196,0.9102,0.757,1.736,1.772,1.674,1.933,1.624,2.053,1.448,0.9203,0.9556,0.9276,2.137
ABO,0.1371,0.02666,0.9479,1.139,0.8811,0.6334,2.035,0.8792,1.493,0.4306,0.2393,0.3439,2.276,0.1758,0.4184,0.6392,0.8742,1.358
ABR,9.305,11.51,12.41,17.64,13.15,7.589,8.38,17.02,33.83,13.17,7.34,10.85,15.01,7.537,8.147,17.92,19.61,14.13
ABR-AS1,0,0.03065,0.06139,0.1818,0.06432,0.257,0.233,0.2246,0.2601,0,0,0.06083,0.153,0.1078,0.04094,0,0.07883,0.1288
ABRA,0,0,0.05822,0.06897,0,0,0,0.1598,0,0.03478,0,0.03846,0,0,0,0,0,0
ABRACL,10.05,10.2,11.54,13.87,12.64,9.953,7.186,16.11,17.31,13.68,5.986,10,12.47,6.726,4.815,5.741,21.03,19.49
ABRAXAS1,1.907,2.41,2.432,2.529,2.684,1.101,1.057,2.785,4.531,1.708,1.151,1.41,2.425,0.9617,0.5572,0.7566,3.028,2.259
ABRAXAS2,4.027,6.392,6.232,5.528,5.754,4.566,4.05,7.392,11.04,5.473,2.019,3.365,6.043,1.974,1.556,2.638,7.015,6.894
ABT1,9.714,10.91,9.863,9.878,12.89,8.145,4.256,10.52,15.74,7.007,5.155,6.211,9.72,4.822,4.602,8.056,12.92,9.47
ABTB1,168.6,120.9,73.19,167.1,165,36.15,38.66,123.9,229.8,132.9,84.08,115.5,103.6,82.17,94.38,262,212.1,79.02
ABTB2,0.512,0.8957,1.173,2.371,4.157,0.7945,1.091,1.894,3.976,1.134,1.134,0.5014,2.133,0.515,1.185,1.775,1.063,1.285
ABTB3,0.5662,1.389,1.751,2.005,1.274,1.12,1.237,1.619,2.324,1.15,0.6903,0.6554,1.794,0.7942,0.493,1.11,1.324,1.612
ACAA1,27.66,21.29,21.18,27.74,33.61,8.888,9.898,28.37,42.75,28.95,13.25,24.47,25.61,12.46,16.47,32.5,37.09,27.2
ACAA2,6.437,8.778,15.16,9.832,10.61,7.729,4.19,8.73,11.27,8.706,3.003,3.84,13.81,3.504,3.915,5.186,9.581,10.01
ACACA,0.4818,1.131,1.2,1.105,0.9,0.3927,0.9182,1.016,2.887,0.752,0.603,0.8414,1.181,0.5462,0.3803,0.7318,1.208,1.39
ACACB,0.5999,1.323,1.371,2.328,2.53,0.6484,1.523,2.522,3.821,0.7826,1.366,0.9963,2.256,0.9363,0.8687,0.9545,2.054,1.382
ACAD10,5.137,6.885,6.132,7.312,6.532,2.65,2.795,8.913,14.14,4.439,3.609,4.2,8.419,3.335,3.001,6.352,8.589,7.514
ACAD11,0.7419,1.44,1.138,1.299,0.979,0.1842,0.5782,1.338,2.479,0.6066,0.5007,0.6843,1.317,0.5172,0.4064,0.5794,1.852,1.172
ACAD8,3.058,4.293,3.512,4.071,3.791,1.975,2.365,4.763,8.415,4.141,2.748,3.33,4.679,2.339,1.747,3.007,6.007,3.747
ACAD9,5.695,9.876,5.911,4.785,9.149,3.275,3.946,8.151,10.27,3.903,2.308,3.237,6.842,2.764,2.436,4.297,7.933,8.162
ACADL,0,0,0,0.03064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADM,3.886,4.172,6.81,4.18,4.475,3.131,3.094,5.323,6.4,4.548,2.127,2.965,3.95,1.223,1.032,1.104,4.451,5.941
ACADS,3.286,5.748,6.689,6.017,5.544,3.456,1.526,5.576,9.398,4.905,3.415,3.719,6.965,3.419,3.698,3.105,7.393,6.616
ACADSB,1.348,1.97,2.204,1.894,1.992,0.4623,1.093,2.213,3.857,1.136,0.9899,0.628,2.226,0.9991,0.4707,0.6897,2.09,1.632
ACADVL,32.53,41.92,58.73,51.18,50.29,46.36,26.64,57.76,89.91,58.24,28.13,36.89,66.84,25.11,37.05,56.28,74.68,52.65
ACAN,0,0.01886,0,0.01119,0.02968,0,0,0,0,0,0,0,0.01883,0,0.0126,0,0.01213,0.03962
ACAP1,32.22,38.23,33.51,44.07,44.54,18.74,17.54,40.58,60.8,31.84,21.26,29.99,40.06,22.2,21.51,48.57,50.25,35.02
ACAP2,18.23,15.74,11.62,24.45,13.91,5.582,7.716,15.82,53.13,21.18,9.135,12.17,18.05,7.969,4.078,11.63,18.82,16.18
ACAP3,5.811,7.912,8.601,9.311,8.796,3.802,4.06,8.8,11.5,4.634,3.479,5.108,7.316,3.507,4.799,8.333,10.14,6.049
ACAT1,2.28,3.172,3.442,2.851,2.522,1.209,1.507,3.346,4.976,1.869,1.043,1.765,2.928,1.226,0.4334,1.594,4.481,3.761
ACAT2,3.713,4.918,6.506,4.569,5.648,3.469,2.851,5.866,8.348,3.386,2.951,3.223,4.68,2.652,1.673,3.219,7.161,5.41
ACBD3,4.608,5.328,5.761,8.754,5.888,2.932,3.525,8.034,13.09,7.08,2.54,3.4,5.839,2.778,1.638,2.911,6.791,7.033
ACBD3-AS1,3.066,3.065,2.495,4.546,2.815,1.339,1.335,4.212,7.48,2.98,0.7167,1.014,3.635,1.516,0.7678,3.128,2.957,2.616
ACBD4,2.392,3.487,3.246,3.48,2.863,2.322,2.209,4.134,4.422,2.307,1.918,2.524,4.056,2.183,1.452,2.47,4.247,3.081
ACBD5,2.671,3.097,3.401,3.923,2.95,1.595,1.404,3.716,8.139,2.783,1.221,1.882,3.578,1.086,0.913,1.856,3.672,3.173
ACBD6,1.251,1.782,2.286,2.28,1.845,0.9034,1.217,2.369,3.183,1.352,1.098,1.764,1.756,1.004,0.6456,1.188,2.336,2.08
ACBD7,0.02866,0.02507,0,0.02975,0.07893,0.03504,0,0,0.04256,0.06,0,0.04976,0.02504,0.04409,0,0.05116,0.129,0.02634
ACBD7-DCLRE1CP1,0.09688,0,0,0,0.1779,0.1184,0,0,0,0,0,0.05607,0.1693,0,0,0,0.109,0.08902
ACCS,1.55,2.712,2.752,2.35,4.307,1.334,3.787,9.776,13.78,1.174,1.696,1.676,8.376,1.036,1.013,1.111,10.49,8.117
ACCSL,0,0,0,0.05369,0,0,0,0,0,0.05415,0.06772,0,0,0,0.03023,0,0,0
ACD,6.764,9.943,10.85,10.89,13.6,11.2,8.773,13.05,15.03,7.754,7.83,5.965,10.69,4.602,6.48,13.88,13.93,8.33
ACE,0.3028,0.6077,1.093,0.3143,0.3924,0.5881,0.3258,0.6567,1.137,0.4475,0.2915,0.2887,0.7159,0.4385,0.1873,0.0954,0.481,0.5075
ACE2,0.03949,0,0,0,0.05437,0,0,0.03165,0,0.04133,0,0.02285,0.05175,0,0,0,0,0.01814
ACE2-DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACER1,0.166,0.7743,0.1939,0.5167,0.2031,0.4396,0.03066,0.08866,0.3286,0.0579,0.3259,0.1601,0.7732,0.383,0,0,0.1867,0.3558
ACER2,0.2804,0.5042,0.9691,0.5982,0.3575,0.2952,0.3108,0.4245,0.7402,0.4402,0.418,0.2795,0.5308,0.2277,0.182,0.1251,0.5959,0.5869
ACER3,2.448,2.241,3.648,3.945,3.224,1.768,1.723,3.444,6.688,3.741,1.589,2.989,2.987,1.836,1.424,2.139,3.707,4.129
ACHE,0.22,0.02406,0.4337,0.08563,0.101,0.2186,0.09145,0,0.2042,1.324,0.054,0.03183,0.07208,0.02116,0.09641,0,0.06188,0.3033
ACIN1,25.26,27.84,26.06,40.37,31.45,16.82,24.03,34.62,70.64,29.14,16.62,24.7,37.96,17.13,16.25,37.85,44.29,33.19
ACKR1,1.454,1.201,1.132,0.7543,0.593,1.629,0.8056,0.2589,0.2398,2.451,0.8986,0.7478,1.058,0.994,1.038,0.865,0.2726,1.113
ACKR2,0.1292,0.2261,0.1981,0.2012,0.02965,0.1382,0.0179,0.2071,0.2398,0.06762,0.02114,0.1683,0.1411,0.0497,0.0755,0.05767,0.03634,0.1484
ACKR3,1.091,2.353,1.878,1.497,1.968,2.025,0.9289,1.562,1.968,1.509,0.8929,0.7219,1.294,0.7496,0.3416,1.6,1.798,0.8955
ACKR4,0.0377,0.1319,0.06606,0,0.1038,0.04609,0.1045,0.06042,0.4478,0.1973,0.02467,0.1309,0.09881,0.087,0,0.1346,0.2545,0.1386
ACLY,9.648,18.79,27.98,28.28,20.3,14.49,16.25,28.07,62.22,23.79,8.868,13.98,30.45,12.09,11.92,20.55,28.79,28.98
ACMSD,0.08344,0.09124,0.01828,0.06495,0.0383,0,0.01156,0.06687,0.1859,0.262,0.02731,0.06037,0.1276,0.09628,0.04875,0.1676,0.07041,0.07668
ACO1,2.223,2.144,2.103,2.742,1.737,1.172,1.204,1.628,9.354,3.177,0.8312,1.617,3.173,0.9965,0.8756,2.097,3.415,2.813
ACO2,9.522,15.74,19.36,20.52,13.71,10.7,10.28,19.84,35.32,13.99,7.471,9.421,22.61,9.654,10.85,15.41,23.36,21.33
