GSM5824838	GSM5824839	GSM5824847	GSM5824852	GSM5824855	GSM5824858	GSM5824868	GSM5824878	GSM5824885	GSM5824894	GSM5824904	GSM5824932	GSM5824943	GSM5824955	GSM5824967	GSM5824970	GSM5824979	GSM5824984
6.34	8.67	9.102	9.216	9.053	6.041	4.212	10.32	18.16	6.148	3.695	4.984	10.4	4.182	3.165	6.527	11.58	7.613
12.01	22.95	28.13	28.4	23.98	13.59	14.93	27.28	39.68	16.18	12.49	16.64	27.66	12.6	11.48	19.94	30.26	21.71
16.44	19.24	22.33	19.13	23.91	16.84	11.79	27.27	26.53	16.91	11.41	15.86	21.95	8.706	12.52	18.23	28.59	26.03
32.72	45.32	47.43	47.46	46.28	25.67	24.21	52.57	66.5	27.52	20.38	27.58	46.87	22.2	24.07	38.32	59.12	38.47
0.2369	0.2072	0.7858	0.6322	0.06213	0.4655	0.2438	0.08136	0.7286	0.4959	0.1329	0.4015	0.3991	0.1822	0.3362	0.3474	0.4759	0.4043
20.23	24.13	21.64	41.68	24.92	13.13	15.01	29.61	63.23	29.61	12.66	18.61	26.23	16.62	14.46	34.61	41.5	27.3
14.44	16.92	14.35	16.48	17.72	10.48	8.103	18.89	21.91	13.94	7.773	11.09	16.78	6.437	7.044	11.68	20.85	17.45
0.07862	0.0529	0.06888	0.1381	0.06662	0.02588	0.114	0.1357	0.2425	0.07596	0.03167	0.07	0.1374	0.04187	0.06007	0.07017	0.1769	0.1389
1.22	1.346	1.17	1.266	1.626	1.065	0.6116	1.117	1.25	0.6687	0.4181	0.7395	1.167	0.6255	0.526	0.8295	1.307	1.281
0	0.04693	0.07834	0.03712	0	0.01093	0.01982	0.05733	0.1328	0.01872	0	0.0621	0.125	0	0	0	0.1006	0.08217
10.1	17.64	15.6	20.68	17.79	8.14	11.43	22.52	40.51	11.52	10.58	15.95	22.82	9.645	8.406	13.83	33.41	18.93
0	0.05337	0.01782	0.02111	0.01867	0	0	0	0	0	0.01331	0.01177	0.01777	0.01565	0.02377	0	0	0.01869
0.2959	0.09414	0.1414	0.363	0.3211	0.1809	0.08947	0.2587	0.9588	0.3098	0.1937	0.2647	0.3996	0.207	0.06288	0	0.3027	0.5192
0.5539	1.189	1.809	3.084	4.53	1.139	1.033	2.986	3.141	1.212	1.219	1.166	2.596	1.356	2.501	3.191	2.323	1.851
5.716	7.528	7.371	6.065	16.68	7.655	7.901	11.01	9.726	3.294	2.564	3.68	7.854	3.458	4.54	3.611	8.164	4.898
0.6544	0.6149	0.6583	1.409	0.9567	0.5186	0.1612	0.8158	1.691	0.7103	0.3966	0.5471	0.7199	0.5407	0.4815	0.7788	1.636	0.5791
21.97	17.51	16.73	15.24	20.27	17.43	8.615	16.82	22.74	11.65	9.723	12.51	13.93	8.868	7.306	15.77	19.23	15.28
19.87	35.34	35.34	36.98	38.19	27.96	17.34	43.31	59.76	20.7	17.61	20.71	33.23	14.42	21.31	30.75	49.76	22.39
9.347	12.5	14.41	11.99	16.54	6.974	7.173	15.75	23.56	8.027	7.184	8.212	15.62	7.264	7.002	16.9	21.3	10.97
1.227	3.45	2.853	2.938	1.998	3.822	3.755	4.669	8.383	1.918	1.114	1.184	3.231	1.032	1.721	3.447	5.118	1.414
12.25	12.9	13.84	10.07	16.97	8.071	5.862	10.92	19.07	13.2	5.665	8.896	16.17	5.795	4.824	10.05	10.89	17.95
56.85	49.41	42.89	61.42	64.48	32.87	22.68	60.98	91.24	47.07	27.17	39.98	49.51	27.36	29.19	47.99	67.07	55.29
14.03	15.43	17.22	20.29	15.9	11.11	10.19	25.72	31.24	16.24	7.998	12.42	14.3	8.01	8.505	16.98	25.1	22.16
5.935	7.985	8.573	8.747	8.218	6.061	4.388	9.348	12.28	5.601	3.722	4.295	7.541	4.038	3.732	5.245	8.415	7.396
2.325	3.978	5.298	5.048	3.856	2.898	3.86	5.131	10.22	3.362	1.835	2.437	5.558	2.777	1.65	3.704	5.127	5.125
1.446	2.648	3.055	3.231	2.532	2.19	2.564	3.915	7.467	2.476	1.11	1.752	3.59	1.422	1.08	2.112	3.621	3.001
6.071	9.987	6.51	8.087	11.06	11.13	5.624	10.75	12.92	4.552	4.092	6.345	8.865	4.461	3.123	10.68	11.21	6.245
0.6318	0.2261	0.8556	0.9836	0.7382	0.05267	0.4139	0.6445	0.8956	0.511	0.1316	0.4155	0.5269	0.3756	0.3524	0.6152	0.9047	0.6334
82.34	76.8	78.02	89.68	98.66	41.85	34.19	89.59	119.5	84.81	42.97	59.85	74.55	41.15	52.13	95.88	108.5	78.75
18.56	24.51	21.32	28.24	23.11	12.99	10.14	27.69	40.68	18.6	11.05	14.84	23.41	12.77	13.24	26.5	30.5	22.32
9.714	7.709	12.79	16.07	6.252	6.242	4.025	11.71	19.42	18.53	4.352	7.931	10.33	3.541	7.683	9.032	13.92	14.38
4.374	7.495	7.625	4.773	5.878	2.977	4.223	9.323	13.12	5.239	2.804	3.941	6.736	2.255	1.686	1.529	7.001	7.914
11.79	12.63	14.22	14.8	14.82	10.09	6.504	15.87	18.75	10.25	6.462	8.224	12.61	6.241	6.633	11.77	16.62	14.25
0.09044	0.1319	0	0.2503	0	0	0	0	0.179	0.0631	0.03946	0.08723	0.07901	0.02319	0.01761	0.1076	0.06783	0
77.15	59.17	74.02	115.4	91.15	34	40.61	85.7	187.1	119	47.29	85.01	99.93	46.06	50.01	124.3	110.3	112.2
0.01735	0.1366	0.0456	0.117	0.3822	0	0.009614	0.08341	0.2705	0.04539	0.05677	0.03514	0.0985	0.006672	0.04561	0.01548	0.07806	0.05579
0	0	0	0	0	0.1041	0	0.04549	0	0	0	0	0	0	0	0	0	0
4.717	7.325	7.706	8.163	5.452	3.942	4.017	7.508	17.35	7.032	2.79	3.857	7.599	2.913	1.713	3.65	6.767	8.043
2.997	4.043	5.915	4.78	3.446	2.922	2.124	5.107	10.12	4.128	1.507	1.999	4.589	1.917	0.8479	1.746	4.472	4.32
5.159	4.957	3.944	6.444	4.619	2.279	2.162	4.828	12.3	7.562	2.402	3.226	4.739	2.557	1.335	3.348	4.973	4.688
1.023	2.721	4.696	4.437	2.855	2.019	3.953	4.644	9.131	3.52	1.81	1.87	5.416	1.769	1.628	2.695	3.225	4.022
1.219	1.721	1.797	1.929	1.639	1.202	0.729	1.895	3.978	1.478	0.9557	1.173	1.813	0.8819	0.6205	1.142	2.064	1.641
9.899	14.06	16.35	19.11	19.66	11.52	9.077	24.62	31	11.62	8.992	12.64	20.44	9.184	9.008	13.23	23.42	19.9
0.1589	0.139	0.06959	0	0.1823	0.1942	0	0	0.05897	0.2494	0.104	0.02299	0.06939	0	0.09282	0	0.134	0.1095
0.02443	0	0	0	0	0.1344	0	0.07832	0.1814	0	0.01599	0	0.02135	0	0	0	0.02749	0.06736
0.1116	0.2563	1.675	0.4055	0.2306	0.4094	0.8507	1.856	1.885	0.701	0.5845	0.743	1.646	0.644	0.212	0.2117	2.229	1.654
11.49	9.765	7.381	14.78	8.954	5.655	7.125	11.76	34.72	11.97	4.71	10.39	12.58	5.247	2.906	7.415	10.92	11.92
1.739	2.638	2.94	2.538	2.294	1.943	1.958	3.767	5.466	2.204	1.076	1.627	3.667	1.055	0.9445	1.564	3.179	3.77
76.72	63.9	77.65	68.02	73.12	45.4	30.58	79.73	124.9	67.98	35.46	46.65	76.79	32.73	22.06	41.97	81.37	73.12
0.1074	0.2282	0.2824	0.4778	0.1127	0.02814	0.2466	0.1476	0.8431	0.2409	0.05022	0.151	0.1877	0.1771	0.1076	0.3835	0.3971	0.5641
2.415	4.246	4.622	4.747	4.098	2.188	4.512	5.464	10.41	3.313	2.068	2.619	5.189	2.58	1.497	3.103	5.091	4.136
12.53	12.02	12.23	20.68	13.07	7.578	7.725	16.04	37.2	17.84	9.449	11.62	12.65	8.183	4.795	12.79	17.88	12.25
0	0	0	0	0	0	0	0	0.05373	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17.11	10.55	10.57	12.26	12.34	6.046	3.45	11.52	21.18	15.71	4.82	8.627	12.18	5.583	3.118	6.319	10.53	14.78
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.1307	0.09215	0	0	0.07692	0	0	0	0	0
2.997	2.857	2.195	4.132	2.443	0.5333	0.719	3.191	6.277	2.833	1.991	2.253	2.579	1.17	0.8364	2.376	2.693	2.754
0.01953	0.1367	0.1198	0.2838	0.1255	0.03582	0.07578	0.03131	0.29	0.06133	0.0767	0.1243	0.1194	0.03005	0.02282	0.2266	0.1978	0.0718
0.01318	0.02306	0	0.01368	0.02419	0.008056	0	0	0.03914	0.01379	0.008625	0.03814	0.01151	0	0.0077	0	0	0.01211
2.84	4.052	3.518	4.639	3.654	1.693	2.322	4.198	11.56	4.337	1.63	2.27	3.864	1.683	0.9317	1.891	4.217	4.407
102.4	115.6	113	78.22	126.8	99.43	102.9	159.2	138.8	87.01	64.23	77.16	99.9	59.7	36.48	60.19	163	116.8
0.02673	0.09354	0.1874	0.1665	0.1227	0.09805	0.1926	0.04285	0.1191	0.02798	0.06999	0.04642	0.04671	0.1234	0.06248	0.3341	0.1805	0.04913
0.01297	0.03403	0.0568	0.01346	0.0119	0.01585	0	0.04156	0.07701	0	0	0	0.01133	0	0	0	0	0
0	0.01833	0.01836	0.02175	0	0	0	0	0.09335	0	0.02743	0	0	0	0	0	0	0
0.05766	0.1625	0.1965	0.05984	0.09997	0.1292	0.09942	0.05134	0.1903	0.07376	0.0629	0.02596	0.1231	0.08378	0.01497	0.05147	0.06487	0.1001
4.537	8.965	8.071	6.143	7.607	6.281	7.936	7.285	13.19	4.206	3.648	3.986	9.595	4.121	2.6	3.726	7.719	6.099
0	0	0	0	0	0	0.1019	0	0	0	0	0	0	0	0	0	0	0
0.5303	1.556	1.257	2.461	1.231	0.4768	0.9164	2.75	0.8801	0.4571	0.3063	0.3972	0.9812	0.6	0.4922	0.5848	3.018	1.347
3.863	6.035	6.183	6.076	5.102	3.482	3.299	7.077	11.18	4.333	2.438	3.365	5.407	2.563	1.992	2.903	6.586	5.525
0.8846	1.29	0.4306	0.6461	0.8722	0.2804	0.3995	0.8402	1.216	0.1715	0.3002	0.1896	0.8014	0.1008	0.134	0.4094	0.8846	0.3914
0.3083	0.5602	0.2405	0.4079	0.3173	0.1222	0.2742	0.5214	0.9107	0.2341	0.1863	0.2294	0.4174	0.2476	0.1128	0.2299	0.4879	0.3114
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.08332	0	0	0	0	0	0	0	0.04985	0	0	0.04161	0	0	0	0.05358	0
3.197	5.992	6.002	5.45	6.078	3.49	5.315	6.954	8.137	4.063	3.437	4.229	11.37	3.864	2.535	2.038	10.28	9.023
0.1385	0.1091	0.06069	0.2732	0.06358	0	0.2841	0.1998	0.4525	0.174	0.399	0.3448	0.4236	0.309	0.1457	0.09892	0.3585	0.3946
14.42	11.19	15.54	11.83	16.17	17.3	9.228	18.57	17.02	10.67	7.147	9.567	12.81	5.755	6.31	15.35	19.07	16.08
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.04412	0.03859	0.03866	0.103	0.05062	0.01349	0.07335	0.1768	0.09826	0.05772	0.03609	0.08937	0.1349	0.01697	0.006444	0	0.04963	0.1115
227.1	238.6	211.4	354.2	310.2	124.3	115	324.7	501.4	290.5	167.8	235.6	282	168.9	192.5	420.3	413.3	256
2.423	3.809	3.758	4.995	4.147	0.6205	2.051	5.038	6.612	3.084	1.436	2.804	4.09	1.889	1.033	2.776	5.93	4.724
0	0.01302	0	0	0.00683	0	0.008248	0.01193	0.01105	0.007788	0	0	0	0	0	0	0.03348	0
2.247	2.713	2.662	3.12	3.922	3.192	2.035	3.754	4.699	1.888	1.533	1.392	3.29	1.339	1.128	1.667	3.81	2.676
0.8381	1.191	1.836	3.044	1.01	2.081	1.161	1.763	2.255	1.59	0.7542	0.9397	1.739	0.6447	0.4285	1.356	2.121	2.888
0.9647	1.721	1.492	1.865	1.667	0.9945	0.9436	2.062	2.472	1.188	0.8171	0.8868	2.115	0.7276	0.3868	0.6078	1.66	1.356
0.3165	0.4714	1.551	1.349	0.5104	0.821	0.5073	0.9872	1.512	1.074	0.907	0.9258	0.7398	0.737	0.4798	0.7483	0.741	0.9983
0.8505	1.668	1.935	1.338	1.511	1.132	0.8895	2.243	2.526	1.091	0.5118	0.7939	1.774	0.5909	0.4569	0.7591	1.744	1.563
1.533	1.182	4.772	4.062	1.296	1.689	1.778	2.49	5.092	2.534	2.944	2.872	3.542	2.11	2.404	2.305	2.95	3.318
2.402	3.394	4.014	2.147	3.493	1.965	1.577	3.731	5.322	2.359	1.79	1.647	2.647	0.8243	0.3886	2.177	4.074	2.377
0.8453	1.956	2.079	2.066	2.528	1.534	2.01	3.802	4.454	2.312	0.6425	1.326	2.239	0.881	0.6214	1.777	2.945	3.909
0	0.03133	0	0	0.06575	0	0	0.0574	0.05318	0	0	0	0	0	0	0	0.08058	0
5.695	9.876	5.911	4.785	9.149	3.275	3.946	8.151	10.27	3.903	2.308	3.237	6.842	2.764	2.436	4.297	7.933	8.162
62.12	56.64	60.73	59.64	62.26	36.11	24.24	68.14	110.9	65.81	28.69	42.06	57.74	30.3	18.94	50.77	69.92	60.26
0	0	0	0.03621	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.506	7.491	13.74	17.02	5.315	9.874	8.404	18.02	33.28	10.49	4.958	5.191	12.75	4.391	8.473	12.44	18.8	13.16
4.838	5.869	3.405	8.376	6.657	2.985	2.816	5.164	13.68	5.11	2.906	3.595	4.894	3.083	2.238	6.374	6.738	3.184
2.003	4.447	5.534	5.416	4.26	3.319	3.575	6.697	12.98	4.656	2.004	2.463	5.534	2.177	1.834	4.675	7.105	5.627
3.192	4.713	5.554	5.719	4.072	2.421	2.331	4.945	10.3	4.755	2.331	2.843	5.538	1.712	1.713	3.055	4.938	5.585
2.118	3.31	4.232	3.186	4.041	2.371	1.86	4.424	7.173	2.814	1.791	1.777	4.075	1.666	1.182	1.805	4.712	3.149
5.881	7.321	10.7	6.28	9.395	4.183	6.582	9.97	13.01	5.682	2.924	5.302	8.151	2.741	1.784	2.625	9.161	7.691
3.77	5.05	6.813	6.761	5.004	3.265	4.796	5.548	18.17	10.11	2.767	4.393	7.711	2.606	1.921	4.723	5.494	10.09
0.1052	0.1104	0.0553	0.02183	0	0	0	0.06744	0.125	0	0	0	0.03676	0	0.03688	0	0.07101	0.07733
4.756	6.146	6.887	7.932	6.755	2.754	4.06	6.82	17.32	6.515	3.233	4.829	7.537	3.504	2.038	5.466	8.598	7.79
0.004551	0.01194	0.02392	0	0.01671	0.01113	0.007566	0.02188	0.04054	0.009526	0.008935	0.0158	0.003975	0.007001	0.005318	0	0.02048	0.01255
1.974	1.643	0.7513	1.851	1.762	1.498	0.7996	1.985	5.093	1.467	0.9176	1.465	1.807	1.12	0.5965	2.491	3.583	1.576
3.441	4.945	4.393	6.02	4.241	3.275	2.534	4.806	8.831	3.653	2.22	3.584	5.754	2.685	2.987	4.87	6.028	6.098
3.064	3.928	4.912	5.994	4.277	2.9	2.911	4.979	12.18	4.951	2.107	3.106	4.823	2.509	1.65	2.849	5.973	4.542
3.662	4.365	4.02	3.926	4.433	2.559	2.019	4.709	7.26	3.559	1.989	2.655	4.043	1.734	1.117	1.167	4.097	4.456
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.571	3.378	4.022	3.618	3.119	2.05	1.663	4.633	7.667	4.25	1.748	2.241	3.827	1.562	1.128	2.442	3.774	4.198
0.2783	0.1217	0	0	0	0	0	0	0	0	0.09109	0	0	0	0	0	0	0.2558
4.411	3.02	5.097	3.118	5.281	2.052	2.179	5.02	7.83	3.814	1.464	2.923	4.3	2.287	1.326	3.652	5.681	4.494
2.362	4.429	3.999	3.414	4.574	2.932	3.014	5.001	11.29	2.846	2.223	2.332	4.657	2.03	1.787	2.53	5.556	2.982
0.0896	0.148	0.1396	0.07232	0.1097	0.07303	0.04414	0.1436	0.2217	0.1459	0.05864	0.1095	0.1479	0.06892	0.01163	0.07997	0.1456	0.08233
4.978	7.57	6.712	7.161	6.215	3.075	4.475	7.731	14.71	5.265	2.684	4.322	7.887	2.679	1.839	4.052	7.385	6.744
0.04532	0.03965	0.3574	0.1411	0.0416	0	0	0.03632	0.2019	0.1186	0.1335	0.1574	0.1386	0.06973	0.01324	0	0.1785	0.2083
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.0495	0.1983	0	0	0	0	0	0.3361	0.05922	0.2222	0.06549	0.04943	0	0	0	0.06366	0
1.828	2.016	1.99	2.547	2.368	1.225	1.231	2.328	4.302	2.193	1.06	1.189	1.977	1.13	0.7268	0.9911	1.972	2.294
28.34	20.29	43.83	29.84	30.77	39.78	20.96	26.86	37.11	61.46	19.07	28.32	30.23	18.65	16.14	21.15	27.27	44.13
0.05732	0	0	0	0	0	0	0	0.1277	0	0.01876	0	0	0	0	0	0	0.02634
18.67	3.714	5.228	4.042	13.07	0.9706	2.696	5.492	11.54	5.615	3.566	13.22	10	2.636	1.299	1.581	4.268	16.6
23.72	30.82	27.31	28.07	27.29	15.69	18.01	28.93	74.05	30.44	11.55	14.92	28.31	11.7	4.528	10.79	26.38	25.61
0.1837	0.2277	0.0939	0.2383	0.09837	0.06551	0.08485	0.1963	0.4774	0.1763	0.07014	0.1683	0.1872	0.08244	0.07156	0.02733	0.2067	0.197
6.851	8.357	9.941	8.459	8.695	7.73	5.25	12.11	18.76	8.759	3.995	5.143	9.983	3.573	3.499	5.808	9.169	8.472
0.08846	0.07739	0.07751	0.1285	0.09745	0	0	0.08508	0.1839	0.09259	0.0579	0.08192	0.09274	0.1361	0	0	0.1791	0.1463
0.02214	0.006456	0.006467	0	0	0.02707	0.01227	0.03549	0.02192	0.01545	0.01449	0.01709	0.0129	0.02271	0	0	0.01661	0.006782
1.314	2.1	1.895	2.141	1.96	1.188	0.9256	2.194	3.984	1.739	0.7228	1.13	1.906	0.8004	0.5226	0.9124	2.105	1.929
1.934	2.65	3.332	2.91	3.067	2.266	1.894	3.875	6.62	2.744	1.118	1.66	3.651	1.595	0.8788	2.081	3.517	3.367
1.145	1.193	1.412	1.317	1.251	0.754	0.6411	1.078	1.849	1.248	0.5021	0.6216	1.129	0.4131	0.3793	0.7059	1.188	1.388
5.74	4.789	5.496	6.762	5.045	4.119	3.402	5.968	12.9	8.42	3.119	4.695	5.925	3.035	1.696	4.115	5.735	6.782
0.2563	0.1794	0.8984	1.117	0.7059	0.03134	0	0.9039	1.142	1.395	0.2349	0.178	0.627	0.07887	0.3894	0.04576	0.7498	0.6596
0.02144	0.01876	0.05636	0.06675	0.05904	0.03932	0	0	0	0.06732	0.05613	0	0	0.03299	0.02505	0	0.02412	0
0	0.2245	0.2569	0.03804	0.03365	0	0	0.1175	0.2177	0	0.02399	0	0	0	0	0	0.08248	0
0.1238	0.03611	0.1447	0	0.07578	0.02523	0.1601	0.1323	0.1839	0	0.05403	0.02389	0.1442	0.03175	0	0	0.09287	0.03793
0	0.05663	0	0.03359	0	0	0	0	0.04806	0.03388	0	0	0.02828	0	0	0	0	0
0.3344	0.3511	0.4102	0.2083	0.5526	0.4089	0.07414	0.3216	0.298	0.42	0.08756	0.07742	0.1169	0	0.03908	0.597	0.2258	0.2459
8.243	8.627	7.979	10.83	8.547	5.474	6.099	11.14	22.81	9.554	4.512	6.856	9.256	4.806	3.013	7.078	11.06	9.469
4.34	3.721	5.153	2.43	3.302	1.065	2.389	3.157	8.14	5.02	1.962	2.826	3.292	1.691	0.4504	1.045	4.015	5.09
0	0.1873	0.3753	0.4445	0	0	0	0	0	0	0.2803	0	0	0.3295	0	0	0	0
9.211	3.731	2.725	5.226	5.492	1.539	2.068	5.507	8.708	8.215	3.451	7.474	4.321	4.283	1.263	4.759	4.732	7.294
3.045	2.427	2.6	3.308	2.428	1.018	0.9369	2.068	9.101	3.606	1.275	1.68	3.303	0.7842	0.3393	1.117	2.903	3.024
0.03365	0.05888	0	0.03493	0	0.08229	0	0.1079	0.09994	0.07045	0	0.05843	0	0	0	0	0.03786	0.06185
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.546	2.771	2.784	3.258	3.134	2.487	3.306	3.785	9.351	2.978	1.757	1.581	4.499	1.423	1.114	2.066	3.969	3.321
0.5391	0.9201	0.8525	1.897	0.7845	0.5546	0.6194	1.349	3.124	1.486	0.4647	0.6773	1.183	0.5462	0.5531	0.7394	1.257	1.087
127.1	58.41	67.23	62.22	66.28	37.16	26.6	56.18	197	134.8	31.03	90.73	82.97	35.15	16.91	63.06	93.38	130.3
0.6621	0.3049	0.5344	0.7595	0.7358	0.1811	0.4732	0.7261	1.708	0.5654	0.3878	0.242	0.6241	0.2145	0.1222	0.09332	0.6665	0.8967
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.6353	0.8698	1.089	1.433	0.9381	0.4728	0.3674	1.417	2.789	1.388	0.3435	0.7673	0.8928	0.4249	0.2582	0.8629	1.15	1.294
9.256	7.323	5.784	8.481	7.122	3.521	4.562	7.01	19.18	12.96	3.558	6.057	7.551	3.319	1.745	4.727	7.028	8.357
0.8894	1.061	1.417	0.5874	0.9351	0.6129	1.174	0.622	6.795	2.573	0.2434	1.273	1.639	0.3234	0.2645	0.6639	0.8187	2.155
0.2891	0.2939	0.2054	0.2595	0.1291	0.09076	0.06496	0.1503	0.5453	0.2045	0.08183	0.2578	0.1434	0.1322	0.06392	0.1744	0.2198	0.1221
10.5	12.22	13.08	21.73	15.7	12.86	14.05	18.62	30.81	14.77	8.013	11.64	14.68	7.282	9.725	18.89	19.16	13.32
7.354	10.46	11.72	12.23	12.47	17.98	11.2	12.41	16.73	7.877	4.926	6.72	12.7	4.995	6.432	7.715	12.97	12.41
4.05	5.426	5.974	5.321	6.871	4.795	2.785	7.067	7.993	4.883	2.718	3.887	6.046	2.8	1.887	3.798	7.959	4.523
0.2281	0.2594	0.2598	0.5445	0.2513	0.08367	0.3666	0.3291	0.6775	0.1433	0.1493	0.09242	0.4185	0.1579	0.1733	0.1018	0.308	0.4193
7.575	7.191	6.708	10.26	8.202	3.165	4.134	8.834	18.52	8.834	4.603	5.545	8.582	4.594	3.725	12.19	10.29	6.4
0.5866	0.5413	0.6055	0.6338	0.5606	0.3782	0.2583	0.6955	0.9665	0.4962	0.305	0.5488	0.7722	0.4265	0.1362	0.2654	0.7503	0.6867
2.31	2.096	3.276	2.067	1.564	2.427	2.536	2.244	2.358	4.729	3.061	2.974	2.346	3.242	1.375	1.173	1.397	4.192
9.888	11.79	12.85	12.21	12.5	7.618	8.048	15.79	22.25	11.39	5.53	7.767	14.73	5.216	4.377	8.128	16.02	14.47
0.07098	0.0207	0.0622	0.3684	0.1303	0.1013	0	0.1138	0.527	0.04953	0.03097	0.04108	0.1654	0.0364	0.09678	0.2323	0.1863	0.04349
0	0.06038	0	0.07164	0.02112	0.04219	0.06376	0.03688	0	0	0.01506	0	0.0201	0.0177	0.01344	0	0.02588	0
2.862	1.878	1.881	5.198	2.627	0	0	1.147	5.312	2.246	0.4683	2.07	2.5	0	0	0.6386	0.8049	3.287
1.34	2.877	2.241	2.655	3.186	2.718	1.553	2.343	3.707	1.211	1.275	1.621	2.288	2.155	0.8184	2.011	4.248	2.071
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.05459	0	0	0	0	0	0	0	0	0	0	0	0
0.01367	0.1316	0.07188	0.09933	0.03765	0	0.03789	0.04383	0	0	0.04475	0.02374	0.02389	0.05259	0.01598	0.09763	0.06153	0.07539
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.837	4.188	2.66	9.011	4.264	1.463	1.618	4.692	20.14	4.906	2.784	3.586	3.352	3.195	1.974	4.883	6.502	3.602
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.23	15.74	11.62	24.45	13.91	5.582	7.716	15.82	53.13	21.18	9.135	12.17	18.05	7.969	4.078	11.63	18.82	16.18
14.65	14.79	13.32	16	15.84	4.728	5.986	16.92	28.13	11.79	8.544	7.869	15.65	6.409	3.71	8.139	16.21	14.69
19.06	22.67	22.67	29.8	25.78	13.84	13.52	24.42	44.71	26.16	11.43	16.8	27.09	10.7	14.96	30.35	28.57	25.79
2.105	2.309	2.128	2.766	2.778	0.8907	1.939	2.236	5.751	2.033	1.557	1.6	2.665	1.245	0.6621	1.289	3.124	2.93
19.45	19.23	17.03	24.96	23.45	8.441	11.31	26.22	54.71	23.48	11.76	17.28	21.66	11.81	9.335	21.64	31.82	23.73
3.174	4.4	4.399	6.626	3.465	2.013	3.362	5.394	15.61	4.75	2.381	3.153	4.664	2.861	1.557	3.986	5.934	4.48
5.709	7.209	8.123	7.103	6.298	3.917	3.977	7.836	12.37	5.098	2.88	3.82	7.474	2.834	1.918	3.818	9.586	6.707
0.1329	0.249	0.2494	0.4137	0.2265	0.1508	0.1052	0.1217	0.1691	0.1589	0.09938	0.2087	0.1658	0.1606	0.1442	0.1863	0.1495	0.06976
7.409	8.358	7.668	10.97	9.769	4.835	6.572	11.01	24.17	10.01	3.797	6.948	11.45	4.689	4.289	8.152	13	11.53
26.87	39.03	37.28	26.05	40.41	22.95	28.97	59.94	62.96	35.83	23.27	32.3	45.34	22.31	11.57	29.64	65.35	43.23
1.287	1.672	1.471	1.342	1.749	0.617	0.8328	1.5	2.829	0.914	0.7942	0.9452	1.57	0.6499	0.3976	0.5264	1.716	1.183
0.2848	0.5095	0.8733	0.5373	0.6535	0.3877	0.4376	0.8506	0.9418	0.4606	0.3558	0.4345	0.7124	0.2888	0.1815	0.5315	0.8883	0.3925
0.04264	0.1865	0.2242	0.2213	0.274	0.5214	0.2127	0.1367	0.1266	0.08926	0	0	0.1118	0	0.04983	0	0.2399	0.07837
2.564	3.908	4.204	3.741	4.334	3.631	2.096	4.516	6.332	2.125	1.512	2.218	3.726	1.816	2.106	3.399	4.341	3.336
18.8	13.48	12.39	24.51	17.91	6.158	7.418	20.93	34.5	18.22	9.602	14.51	15.99	9.352	9.646	33.49	25.65	17.56
4.996	6.028	5.006	7.256	6.747	3.976	2.992	7.846	10.32	5.004	2.781	3.481	5.443	2.993	2.399	6.958	8.511	5.066
0.04322	0	0.01894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01986
1.009	2.032	1.45	1.967	1.652	1.208	1.234	2.499	3.758	1.308	0.7268	0.8435	1.936	0.7639	0.6676	1.177	2.054	1.717
2.979	5.016	6.46	6.389	5.924	3.536	3.563	6.724	9.325	4.079	2.534	3.319	6.723	2.673	3.002	3.855	6.06	5.224
3.954	6.322	6.014	10.14	6.787	5.261	4.509	8.524	15.32	5.899	3.332	4.446	7.902	4.452	3.55	7.965	8.113	6.794
46.78	34.47	28.44	51.64	42.25	18.33	16.87	41.24	77.74	37.6	19.35	35.11	37.55	18.76	22.99	48.08	55.11	41.2
23.02	31.38	33.78	35.37	38.12	22.21	14.5	34.58	50.73	25.79	15.98	17.31	27.95	14.66	20.86	36.76	42.46	22.87
0.4235	0.7713	0.6326	0.6701	0.6373	0.5645	0.431	1.135	1.505	0.5813	0.3726	0.434	1.043	0.2403	0.3651	0.7064	1.172	1.014
0	0.0871	0	0	0	0	0	0	0	0	0	0	0	0.0383	0	0	0	0
0	0	0	0.1902	0	0	0	0	0	0	0	0	0	0	0	0	0	0
