GSM5824838	GSM5824839	GSM5824847	GSM5824852	GSM5824855	GSM5824858	GSM5824868	GSM5824878	GSM5824885	GSM5824894	GSM5824904	GSM5824932	GSM5824943	GSM5824955	GSM5824967	GSM5824970	GSM5824979	GSM5824984
0.6778	0.9882	1.584	0.7034	1.659	1.588	1.816	1.811	1.006	1.301	0.6654	0.7846	0.8882	0.6952	0.528	0.8067	2.288	1.35
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168	152.6	131	236.3	166.3	112	85.14	196.4	365.2	186.7	90.04	136	162.5	87.2	116.1	229.2	245	173.4
5.335	7.145	6.395	10.57	7.113	5.101	7.426	9.789	19.57	5.946	3.529	4.541	8.014	3.788	3.357	6.191	10.16	6.855
0.1938	0.2665	0.02426	0.3449	0.1017	0.3216	0.01535	0.08877	0.4523	0.1159	0.01812	0.1282	0.2419	0.0639	0.1456	0.1977	0.2804	0.05089
4.391	4.405	3.888	7.087	5.719	2.052	2.255	5.786	10.04	5.126	2.663	3.846	4.158	2.264	3.103	7.1	5.613	5.43
6.605	10.12	7.687	16.2	8.555	6.908	11.96	12.65	30.68	10.69	5.359	5.863	11.84	6.359	6.233	10.97	14.29	10.4
9.311	9.896	7.282	10.34	10.85	5.143	4.855	10.34	16.37	6.668	4.972	6.689	9.294	4.351	5.095	12.03	12.86	9.251
0	0	0	0	0	0	0	0	0	0	0	0	0.05011	0	0	0	0	0.07906
27.17	28.65	26.88	32.27	34.93	17.23	13.52	31.65	46.32	27.16	13.92	20.61	30.27	15.02	14.88	28.43	31.76	31.62
4.711	2.061	0.516	0.6112	1.622	2.16	1.632	1.888	0.8745	1.233	0.3855	0.6817	0.5145	1.359	0.3441	1.577	1.988	0
0.4397	0.4167	0.5137	0.7225	0.4372	0.1792	0.2843	0.9397	0.4897	0.3452	0.3118	0.4241	0.4161	0.2255	0.1927	0.1635	0.742	0.2694
4.123	2.061	0.516	0.6112	2.162	2.16	1.632	1.888	0.8745	0.6164	0.3855	0.6817	0.5145	1.359	0.6882	2.103	1.988	0.5412
2.004	4.439	4.28	3.863	4.309	1.66	1.61	5.416	7.904	1.774	1.963	2.594	3.967	2.125	1.697	3.196	5.909	3.247
0	0.07185	0.1439	0	0	0.1004	0	0	0	0	0	0	0.07175	0	0	0	0.0924	0
49.48	34.96	35.02	36.94	51.01	32.46	16.77	51.09	63.87	45.22	20.3	33.26	39.57	20.5	16.85	34.31	51.39	48.62
35.55	20.21	39.1	79.46	28.02	18.19	35.7	25.02	56.42	131.1	15.78	37.47	86	18.34	36.07	114.6	37.99	107.4
5.527	8.322	7.624	10.25	6.462	3.388	7.471	8.851	25.9	7.831	4.325	5.792	10.4	4.913	4.169	7.613	11.6	9.113
1.621	3.571	3.767	3.936	3.202	1.345	2.993	3.504	8.555	2.727	1.336	1.826	4.578	1.815	1.556	2.274	3.941	2.927
0.1285	0.4496	0.1876	0.5334	0.3539	0.1309	0.09495	0.5492	0.3816	0.1345	0.1402	0.1487	0.2245	0.3295	0.2252	0.1529	0.3855	0.1968
81.24	77.11	97.41	115.1	125.9	98.83	80.37	119.9	173	104.5	57.48	75.31	104.8	53.58	68.31	135.4	128.1	100.8
0.1844	0.4301	0.2423	0.287	0.4795	0.09393	0.1533	0.197	0.1369	0	0.181	0.1245	0.1074	0.02364	0.07182	0	0.2074	0.08472
0	0.1556	0.3563	0	0.14	0.1243	0.08452	0.08148	0.07548	0.05321	0.06654	0.1765	0.1998	0.1564	0.01485	0	0.1144	0.02336
1.167	2.041	1.528	1.378	1.539	1.484	0.7656	1.827	3.425	0.9545	0.6934	1.032	2.074	0.8975	0.6347	0.7781	2.082	1.368
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0.07235	0	0	0	0
209.5	83.24	59.31	146.3	157.6	64.45	55.52	120.7	164.5	163.1	80.48	104.8	85.42	64.1	91.73	244.4	168.4	88.54
44.89	27.56	21.5	55.49	36.25	15.74	21.05	44.06	111.4	57.88	21.64	40.13	35.28	24.78	21.05	57.8	61.32	54
275.7	55.18	45.53	166.7	97.26	77.31	46.2	112.9	280.2	388.6	80.96	183.5	57.95	80.74	100.2	307	238.2	214.1
0.8465	0.5886	1.35	0.2253	0.5778	1.274	0.5052	0.1044	0.2256	1.363	0.5966	1.52	0.6826	0.4341	0.1015	0	0.293	1.556
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.618	4.505	6.402	6.355	6.962	3.361	4.127	5.131	9.506	4.953	2.55	3.705	6.14	3.319	2.277	4.658	6.106	5.308
3.013	5.986	4.422	6.392	5.322	3.387	4.309	5.88	10.75	2.905	2.184	2.668	6.568	2.837	1.999	2.681	6.32	4.786
5.173	1.824	3.112	0.641	1.417	20.48	1.155	2.722	5.503	23.84	1.516	11.8	8.431	0.7127	0.4511	0.4824	5.038	46.54
3.98	7.597	10.83	10.88	7.421	6.778	6.284	9.949	16.87	7.938	4.013	4.94	10.39	4.794	3.978	4.624	11.91	10.44
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.786	9.224	12.08	11.24	9.327	6.484	4.979	12.79	20.04	9.441	4.85	6.834	12.04	4.623	3.627	5.895	11.95	12.02
1.028	1.999	1.902	1.107	1.503	0.4424	1.309	1.77	1.47	0.6378	0.7478	1.411	2.762	0.586	0.356	0.06799	1.328	2.905
8.235	11.38	9.977	9.813	12.51	2.175	7.494	14.18	8.907	3.937	4.858	4.472	10.84	6.022	2.614	9.982	13.27	9.343
75.31	165.1	168.6	74.6	91.38	74.48	115.8	144.4	190.3	126	62.85	65	115.3	52.66	39.08	75.72	151	123.6
4.24	6.837	7.139	8.517	5.596	3.822	3.433	9.02	13.72	5.849	2.89	3.755	7.426	3.532	3.14	5.389	6.815	8.08
26.73	25.87	26.24	28.13	35.13	16.6	10.2	30.51	43.35	25.31	14.4	17.29	26.49	13.03	17.82	34.69	39.11	26.95
3.694	5.121	4.658	5.344	4.225	1.811	2.448	5.144	10.01	3.83	2.285	2.664	5.03	1.872	1.025	1.779	5.356	4.934
4.369	8.914	9.975	6.45	7.336	3.401	6.723	5.85	10.42	3.792	3.748	4.406	10.87	5.177	1.261	2.253	6.152	7.843
8.971	14.94	17.41	19.88	16.73	16.85	18.21	19.99	37.04	16.35	7.43	10.2	20.22	8.138	7.591	11.67	18.94	17.78
5.36	4.748	5.353	7.472	2.877	1.944	2.605	5.606	11.94	7.012	2.631	3.575	6.726	2.166	1.234	2.676	5.544	10.25
21.05	20.58	21.67	20.65	22	14.15	10.18	27.4	36.24	24.45	10.15	16.1	18.92	9.346	8.415	21.64	28.94	22.73
28.27	24.25	25.42	32.66	29.13	17.44	12.21	33.77	54.81	31.56	14.39	20.11	26.85	14.76	11.04	29.44	39.3	27.84
10.29	9.576	9.946	13.16	11.1	8.272	5.656	12.72	23.26	12.52	5.811	7.142	10.58	5.965	4.15	10.81	15.73	10.43
13.45	21.69	14.7	16.54	21.4	10.13	19.42	15.35	16.53	7.704	11.2	11.61	25.02	13.48	6.279	7.406	13.42	17.49
3.095	5.032	4.872	4.577	4.853	5.292	2.141	6.454	5.206	3.498	1.703	2.584	3.781	1.791	1.857	4.597	5.886	5.815
0.6802	0.7603	0.596	0.7844	0.6244	0.9009	0.8377	0.7268	1.234	0.2373	0.371	0.7655	0.8253	0.2035	0.7507	1.181	1.53	1.389
9.709	14.74	12.14	14.23	12.76	6.84	6.561	19.84	21.38	10.31	6.567	9.818	15.45	6.664	8.668	11.28	16.81	16.38
30.49	36.43	30.93	50.28	40.02	31.38	31.93	45.45	74.45	43.99	21.92	26.42	40.53	24.2	27.32	46.92	49.01	33.13
0.6126	0.7294	2.162	2.084	1.25	1.28	0.6225	1.855	3.057	1.781	0.9578	0.9061	1.264	0.576	0.8849	1.154	2.202	2.314
0	0	0	0	0.08364	0.4456	0	0	0	0	0	0	0	0	0	0	0	0
45.8	54.95	57.07	94.29	59.76	41.18	73.34	79.24	149.8	66.75	38.2	48.03	90.65	40.58	43.19	73.93	82.73	91.51
1.029	2.017	1.684	1.995	1.515	1.341	2.256	2.428	4.633	1.514	0.8065	0.9029	1.985	1.244	1.077	1.281	2.2	1.527
263	166.8	181.1	303.4	254.9	168.4	115.8	250.9	473.2	327.2	93.18	178	212	90.84	134.7	289.4	337.3	252.5
189.9	200.3	203.5	83.81	216.7	157.8	73.37	112.6	535.5	494.9	52.39	173.4	227.5	39.32	41.47	153.5	174.2	330.4
22.22	26	20.46	24.89	31.65	13.22	11.58	27.99	45.81	16.48	12.87	19.79	23.14	12.75	8.426	15.06	35.54	21.01
4.9	5.252	5.31	8.387	6.905	3.144	4.034	6.247	12.96	5.204	3.479	4.76	7.097	2.965	3.047	6.318	7.882	6.597
121.7	108.4	78.79	203.8	144.8	50.05	53.74	137.8	325.5	117.6	67.18	81.53	114.9	70.7	87.82	200.6	163.6	109.3
18.19	20.93	25.81	25.47	28.83	20.2	19.08	29.81	37.89	21.93	12.37	15.04	23.05	11.35	8.413	15.09	31.65	24.48
5.599	6.591	8.044	6.879	8.314	4.203	5.476	5.873	11.98	4.611	3.611	5.266	7.373	4.117	2.55	6.21	9.727	7.415
3.769	2.885	1.651	0.978	3.46	2.304	2.089	2.265	1.399	3.452	0.3084	1.909	1.646	2.175	1.101	5.888	3.71	1.732
0.7154	0.6259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
